date,AGG,EEM,EFA,IJR,JNK,SHY,SPY
2012-10-05,-0.0033886433,0.015123963,0.02150941,0.0055793524,0.005268931399999999,-0.0006889700999999999,0.015072584
2012-10-12,0.0041122437000000005,-0.016209781,-0.017916559999999998,-0.02593553,0.0012438297,0.00023698806999999998,-0.02223897
2012-10-19,-0.0032941700000000003,0.005573034,0.018243432,0.0010597706,0.0042136908,-0.0007106066,0.0034964085
2012-10-26,0.0007146597,-0.006987989,-0.009604752,-0.008998275,-0.0034538507000000003,-0.00011843443,-0.014224172
2012-11-02,0.0007321834600000001,0.009463668,0.0012122393,0.0061423779999999996,0.0040894747,0.0005007982300000001,0.0014855862
2012-11-09,0.0018825531000000002,-0.014423013,-0.016485095,-0.020039856,-0.007210433499999999,0.00047397613999999996,-0.02401805
2012-11-16,0.0011599064,-0.014390229999999999,-0.013446927,-0.023293495,-0.0047582388,0.0003553629,-0.012956083
2012-11-23,-0.002227962,0.030190587,0.047034025,0.03840816,0.012078524,-0.0004736185,0.036518335
2012-11-30,0.0025901794,0.0037232637000000003,0.009717583699999999,0.018827677,0.0084534883,0.00023698806999999998,0.0056949854
2012-12-07,0.0006811618999999999,0.02393198,0.0077174900000000005,-0.0005242824599999999,0.0069668293000000004,0.00035643578,0.0018289089
2012-12-14,-0.0027763247000000004,0.013906716999999999,0.010469437,0.00039339066,0.003446579,0.00011849403,-0.0021759868
2012-12-21,-0.0020655394,0.0033961535,0.018609047,0.030997157,0.0029439926,-0.00059193373,0.012010336
2012-12-28,0.003512144,0.010383367999999999,-0.0088480115,-0.018191099,-0.0028163195,0.00036525726,-0.019329071
2013-01-04,-0.004403293,0.029519438999999998,0.02606678,0.05414927,0.010850786999999999,-0.00011837482,0.045276046
2013-01-11,0.0005415678,-0.011558115,0.009918213,-0.00123775005,0.005367159999999999,0.00023686886,0.0047824383
2013-01-18,0.0007216930400000001,0.006858587,0.0018953085,0.016606688,0.0029120445,0.0,0.008567333
2013-01-25,-0.003245294,-0.013735354,0.015133262000000001,0.016823173,0.0007258654,-0.00023686886,0.012944101999999999
2013-02-01,-0.0037853718,0.0078125,0.0071150064,0.0019181967,-0.01033932,0.00012624264,0.006589055
2013-02-08,0.0030925274000000004,-0.014717518999999998,-0.015475214,0.0063419340000000005,-0.006630719,0.00059235096,0.0037027597
2013-02-15,-0.0002720356,0.0031927824,-0.0017085075,0.0082045794,0.0051915646,-0.0004735589,0.0020421743
2013-02-22,0.0005441904,-0.016140103,0.0010268687999999998,-0.0070762634,0.0041811466,0.00023686886,-0.0014463066999999999
2013-03-01,0.0050719976,0.000693202,-0.006667852399999999,-0.00023758411,0.00525403,0.0005732774699999999,0.0014483929
2013-03-08,-0.0075908303,0.018933296,0.021945000000000003,0.026969314,0.0015918015999999999,-0.0004736185,0.02189207
2013-03-15,0.0035512447,-0.030818045000000002,0.00835371,0.011800051,0.0044994354,0.00023698806999999998,0.0069719553
2013-03-22,0.001814723,-0.018938541,-0.008534968,-0.00640291,-0.0009493828,-0.00011843443,-0.0014759302
2013-03-28,0.0028983355,0.019304156,-0.006401658,0.0044645069999999995,0.0017057657000000002,0.00047373770000000003,0.006876588
2013-04-05,0.006595254,-0.027121781999999997,-0.0035605429999999998,-0.024350939999999998,-5.39422e-05,0.0003311634,-0.009650826500000001
2013-04-12,0.0,0.006368637,0.027905345,0.017188549,0.0078240633,-0.00011837482,0.023472786000000002
2013-04-19,0.00035977363999999996,-0.005611956,-0.021685183,-0.029976904000000002,-0.0026686191999999997,0.00011837482,-0.020906866000000003
2013-04-26,0.0022473335,0.014409304000000001,0.033504248,0.024579525,0.009973049000000001,0.00023674965,0.017751575
2013-05-03,-0.0026768446,0.030303001,0.024065137,0.023174524000000002,0.010404468,-0.00015771389,0.019767404
2013-05-10,-0.0045949816999999995,0.0011488199,0.0022381544,0.025039791999999998,-0.0023956895,-0.00011843443,0.012654305
2013-05-17,-0.0015388131,-0.0034427643,0.00574255,0.022096395,-0.0019212365000000002,-0.00011843443,0.021602154
2013-05-24,-0.0038980842,-0.026600600000000002,-0.025376678,-0.012927771,-0.007459103999999999,-0.00023680925,-0.009775996
2013-05-31,-0.007007599,-0.025316477,-0.022457302000000002,-0.0019810796,-0.016242384999999998,-0.0005922317500000001,-0.011269808
2013-06-07,-0.0027933717,-0.012258768,0.0038288832,0.004741907,-0.0033893585,0.00020217896,0.0082901716
2013-06-14,0.001565218,-0.033914924,-0.0082919,-0.004500091,-0.00049698353,0.0005925893799999999,-0.009860456
2013-06-21,-0.019948483,-0.048333826,-0.03110367,-0.013891876000000001,-0.02685237,-0.0021911263,-0.020014584000000002
2013-06-28,0.00562799,0.042304277,0.008828163,0.012721181,0.0089422464,0.00041544437,0.008486747999999999
2013-07-05,-0.010935783,-0.03012985,0.0094240904,0.03299749,-0.0074927807,-0.0006260872000000001,0.016207457
2013-07-12,0.00916481,0.04284942,0.034059525,0.027548552,0.029494761999999997,0.0008312464,0.02754259
2013-07-19,0.0066473484,0.008603096,0.014378786,0.011892319,0.01420021,0.0013052225000000001,0.009909867999999999
2013-07-26,-0.0024181008,0.014131188,0.0021427869999999997,-0.002371192,-0.007860422,0.00011849403,-0.00035464764
2013-08-02,-0.0019154549000000001,-0.0030128956,0.014309168,0.011470556,-0.0040351748,0.00033700466,0.01088047
2013-08-09,0.0028077364,-0.008813858,0.0027565956000000003,-0.007253766,-0.0049961805,-0.00023698806999999998,-0.009593427
2013-08-16,-0.012319148,-0.0015244484,-0.0024093986,-0.018832982,-0.010293841,-0.0007109642,-0.020554006
2013-08-23,0.00066149235,-0.016539395,-0.0019614100000000002,0.015313745,0.0058345795,-0.0009486675,0.0047638416
2013-08-30,0.0029273032999999997,-0.016300142,-0.038980067,-0.026342987999999998,0.0005043745,0.00059354305,-0.017825007
